    #Muestra numJDBCCount numHTTPCount     numHTTPQ
           0            0            5          536
           1            0            5          522
           2            0            5          528
           3            0            5          543
           4            0            5          526
           5            0            5          497
           6            0            5          516
           7            1            5          519
           8            0            5          509
           9            0            5          528
          10            1            5          480
          11            0            5          503
          12            0            5          508
          13            0            5          479
          14            0            5          507
          15            1            5          519
          16            0            5          506
          17            0            5          526
          18            0            5          525
          19            0            5          537
          20            0            5          535
          21            0            5          544

TOT.MUESTRAS        MEDIA:
          22     0.136364            5      517.864
